rec,date,time,bar,close,high,low,f1,f2,f3
L,1260803,1000,70,67.42,67.60,67.22,U,1,62.4317
L,1260803,1000,70,67.42,67.60,67.22,U,2,59.5975
L,1260803,1000,70,67.42,67.60,67.22,L,0,64.5630
L,1260803,1000,70,67.42,67.60,67.22,L,1,66.7388
L,1260803,1000,70,67.42,67.60,67.22,L,2,74.8195
L,1260803,1000,70,67.42,67.60,67.22,L,3,80.3010
L,1260803,1000,70,67.42,67.60,67.22,L,4,75.9867
L,1260803,1100,71,68.10,68.12,67.37,U,0,66.2791
L,1260803,1100,71,68.10,68.12,67.37,U,1,62.2033
L,1260803,1100,71,68.10,68.12,67.37,U,2,59.2200
L,1260803,1100,71,68.10,68.12,67.37,L,0,64.7540
L,1260803,1100,71,68.10,68.12,67.37,L,1,66.9804
L,1260803,1100,71,68.10,68.12,67.37,L,2,75.2490
L,1260803,1100,71,68.10,68.12,67.37,L,3,80.8580
L,1260803,1100,71,68.10,68.12,67.37,L,4,76.4433
L,1260803,1200,72,68.03,68.41,67.84,U,0,66.2545
L,1260803,1200,72,68.03,68.41,67.84,U,1,61.9750
L,1260803,1200,72,68.03,68.41,67.84,U,2,58.8425
L,1260803,1200,72,68.03,68.41,67.84,L,0,64.9450
L,1260803,1200,72,68.03,68.41,67.84,L,1,67.2220
L,1260803,1200,72,68.03,68.41,67.84,L,2,75.6786
L,1260803,1200,72,68.03,68.41,67.84,L,3,81.4150
L,1260803,1200,72,68.03,68.41,67.84,L,4,76.9000
A,1260803,1300,73,67.97,68.27,67.75,U,72,68.4100
L,1260803,1300,73,67.97,68.27,67.75,L,0,65.1360
L,1260803,1300,73,67.97,68.27,67.75,L,1,67.4636
L,1260803,1300,73,67.97,68.27,67.75,L,2,76.1081
L,1260803,1300,73,67.97,68.27,67.75,L,3,81.9720
L,1260803,1300,73,67.97,68.27,67.75,L,4,77.3567
L,1260803,1400,74,68.15,68.24,67.81,L,0,67.9978
L,1260803,1400,74,68.15,68.24,67.81,L,1,65.3270
L,1260803,1400,74,68.15,68.24,67.81,L,2,67.7052
L,1260803,1400,74,68.15,68.24,67.81,L,3,76.5376
L,1260803,1400,74,68.15,68.24,67.81,L,4,82.5290
L,1260803,1400,74,68.15,68.24,67.81,L,5,77.8133
L,1260803,1500,75,68.14,68.18,68.01,L,0,68.2457
L,1260803,1500,75,68.14,68.18,68.01,L,1,65.5180
L,1260803,1500,75,68.14,68.18,68.01,L,2,67.9468
L,1260803,1500,75,68.14,68.18,68.01,L,3,76.9671
L,1260803,1500,75,68.14,68.18,68.01,L,4,83.0860
L,1260803,1500,75,68.14,68.18,68.01,L,5,78.2700
L,1260803,1600,76,68.26,68.38,68.10,L,0,68.4935
L,1260803,1600,76,68.26,68.38,68.10,L,1,65.7090
L,1260803,1600,76,68.26,68.38,68.10,L,2,68.1884
L,1260803,1600,76,68.26,68.38,68.10,L,3,77.3967
L,1260803,1600,76,68.26,68.38,68.10,L,4,83.6430
L,1260803,1600,76,68.26,68.38,68.10,L,5,78.7267
L,1260803,1700,77,68.47,68.47,68.18,L,0,68.7413
L,1260803,1700,77,68.47,68.47,68.18,L,1,65.9000
L,1260803,1700,77,68.47,68.47,68.18,L,2,68.4300
L,1260803,1700,77,68.47,68.47,68.18,L,3,77.8262
L,1260803,1700,77,68.47,68.47,68.18,L,4,84.2000
L,1260803,1700,77,68.47,68.47,68.18,L,5,79.1833
L,1260804,200,78,69.16,69.61,68.47,L,0,68.9891
L,1260804,200,78,69.16,69.61,68.47,L,1,66.0910
L,1260804,200,78,69.16,69.61,68.47,L,2,68.6716
L,1260804,200,78,69.16,69.61,68.47,L,3,78.2557
L,1260804,200,78,69.16,69.61,68.47,L,4,84.7570
L,1260804,200,78,69.16,69.61,68.47,L,5,79.6400
A,1260804,300,79,69.21,69.28,68.74,U,78,69.6100
L,1260804,300,79,69.21,69.28,68.74,L,0,69.2370
L,1260804,300,79,69.21,69.28,68.74,L,1,66.2820
L,1260804,300,79,69.21,69.28,68.74,L,2,68.9132
L,1260804,300,79,69.21,69.28,68.74,L,3,78.6852
L,1260804,300,79,69.21,69.28,68.74,L,4,85.3140
L,1260804,300,79,69.21,69.28,68.74,L,5,80.0967
L,1260804,400,80,69.49,69.69,69.15,L,0,69.4848
L,1260804,400,80,69.49,69.69,69.15,L,1,66.4730
L,1260804,400,80,69.49,69.69,69.15,L,2,69.1548
L,1260804,400,80,69.49,69.69,69.15,L,3,79.1148
L,1260804,400,80,69.49,69.69,69.15,L,4,85.8710
L,1260804,400,80,69.49,69.69,69.15,L,5,80.5533
L,1260804,500,81,70.34,70.40,69.48,L,0,69.7326
L,1260804,500,81,70.34,70.40,69.48,L,1,66.6640
L,1260804,500,81,70.34,70.40,69.48,L,2,69.3964
L,1260804,500,81,70.34,70.40,69.48,L,3,79.5443
L,1260804,500,81,70.34,70.40,69.48,L,4,86.4280
L,1260804,500,81,70.34,70.40,69.48,L,5,81.0100
A,1260804,600,82,70.11,70.35,70.01,U,81,70.4000
L,1260804,600,82,70.11,70.35,70.01,L,0,69.9804
L,1260804,600,82,70.11,70.35,70.01,L,1,66.8550
L,1260804,600,82,70.11,70.35,70.01,L,2,69.6380
L,1260804,600,82,70.11,70.35,70.01,L,3,79.9738
L,1260804,600,82,70.11,70.35,70.01,L,4,86.9850
L,1260804,600,82,70.11,70.35,70.01,L,5,81.4667
L,1260804,700,83,71.94,72.21,70.02,L,0,70.2283
L,1260804,700,83,71.94,72.21,70.02,L,1,67.0460
L,1260804,700,83,71.94,72.21,70.02,L,2,69.8796
L,1260804,700,83,71.94,72.21,70.02,L,3,80.4033
L,1260804,700,83,71.94,72.21,70.02,L,4,87.5420
L,1260804,700,83,71.94,72.21,70.02,L,5,81.9233
L,1260804,800,84,72.56,72.71,71.73,L,0,70.4761
L,1260804,800,84,72.56,72.71,71.73,L,1,67.2370
L,1260804,800,84,72.56,72.71,71.73,L,2,70.1212
L,1260804,800,84,72.56,72.71,71.73,L,3,80.8329
L,1260804,800,84,72.56,72.71,71.73,L,4,88.0990
L,1260804,800,84,72.56,72.71,71.73,L,5,82.3800
L,1260804,900,85,73.42,73.60,72.53,L,0,70.7239
L,1260804,900,85,73.42,73.60,72.53,L,1,67.4280
L,1260804,900,85,73.42,73.60,72.53,L,2,70.3628
L,1260804,900,85,73.42,73.60,72.53,L,3,81.2624
L,1260804,900,85,73.42,73.60,72.53,L,4,88.6560
L,1260804,900,85,73.42,73.60,72.53,L,5,82.8367
L,1260804,1000,86,73.94,73.95,73.36,L,0,70.9717
L,1260804,1000,86,73.94,73.95,73.36,L,1,67.6190
L,1260804,1000,86,73.94,73.95,73.36,L,2,70.6044
L,1260804,1000,86,73.94,73.95,73.36,L,3,81.6919
L,1260804,1000,86,73.94,73.95,73.36,L,4,89.2130
L,1260804,1000,86,73.94,73.95,73.36,L,5,83.2933
L,1260804,1100,87,74.57,75.00,73.91,L,0,71.2196
L,1260804,1100,87,74.57,75.00,73.91,L,1,67.8100
L,1260804,1100,87,74.57,75.00,73.91,L,2,70.8460
L,1260804,1100,87,74.57,75.00,73.91,L,3,82.1214
L,1260804,1100,87,74.57,75.00,73.91,L,4,89.7700
L,1260804,1100,87,74.57,75.00,73.91,L,5,83.7500
A,1260804,1200,88,74.88,74.99,74.39,U,87,75.0000
L,1260804,1200,88,74.88,74.99,74.39,L,0,71.4674
L,1260804,1200,88,74.88,74.99,74.39,L,1,68.0010
L,1260804,1200,88,74.88,74.99,74.39,L,2,71.0876
L,1260804,1200,88,74.88,74.99,74.39,L,3,82.5510
L,1260804,1200,88,74.88,74.99,74.39,L,4,90.3270
L,1260804,1200,88,74.88,74.99,74.39,L,5,84.2067
L,1260804,1300,89,74.83,75.41,74.65,L,0,71.7152
L,1260804,1300,89,74.83,75.41,74.65,L,1,68.1920
L,1260804,1300,89,74.83,75.41,74.65,L,2,71.3292
L,1260804,1300,89,74.83,75.41,74.65,L,3,82.9805
L,1260804,1300,89,74.83,75.41,74.65,L,4,90.8840
L,1260804,1300,89,74.83,75.41,74.65,L,5,84.6633
