name,group,land,tiland,prefw,preti,pre_last,pre_met_frac,post_n,post_met,post_last,post_boots,wd
?,Carolina Springs MHP-CUST,09/15 08:39,09/12 04:04,17078,391,Metering,0.8461538461538461,4,3,Metering,0,0
?,Carolina Springs MHP-CUST,09/15 08:47,09/12 06:04,17078,391,Failed Cal,0.17857142857142858,4,0,Calibrating,0,0
?,Carolina Springs MHP-CUST,09/17 07:15,09/12 05:39,17078,391,Calibrating,0.3333333333333333,2,0,Failed Cal,0,0
?,Carolina Springs MHP-CUST,09/15 07:23,09/12 07:01,17080,392,Calibrating,0.25,8,0,Calibrating,0,0
?,Carolina Springs MHP-CUST,09/15 09:14,09/12 03:36,17078,391,Failed Cal,0.40540540540540543,4,0,Calibrating,0,0
?,Carolina Springs MHP-CUST,09/15 09:08,09/12 07:13,17078,391,Failed Cal,0.45454545454545453,3,0,Calibrating,0,0
?,Stafford MHC-CUST,09/15 09:24,09/12 09:27,17078,391,Failed Cal,0.0,6,0,Failed Cal,0,0
?,Stafford MHC-CUST,09/15 10:13,09/12 09:26,17078,391,Failed Cal,0.0,4,0,Calibrating,0,0
?,Stafford MHC-CUST,09/15 10:01,09/12 08:06,17078,391,Failed Cal,0.1509433962264151,6,2,Calibrating,0,8
?,Stafford MHC-CUST,09/15 07:52,09/12 08:53,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,Stafford MHC-CUST,09/15 10:44,09/12 08:43,17078,391,Failed Cal,0.0,6,0,Failed Cal,0,0
?,Stafford MHC-CUST,09/15 10:18,09/12 08:19,17078,391,Failed Cal,0.0,4,0,Calibrating,0,0
?,Parker MHC-CUST,09/15 08:55,09/12 09:12,17078,391,Failed Cal,0.0,4,0,Calibrating,0,0
?,Noble Estates MHC-Cust,09/17 04:47,09/17 04:51,16130,296,Metering,1.0,2,1,Metering,0,0
?,Noble Estates MHC-Cust,09/15 08:00,09/12 08:06,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,Noble Estates MHC-Cust,09/15 09:31,09/12 10:07,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,Noble Estates MHC-Cust,09/15 08:33,09/12 09:32,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,Alta Vista MHC-CUST,09/15 10:28,09/12 09:26,17078,391,Failed Cal,0.0,4,0,Calibrating,0,0
?,Alta Vista MHC-CUST,09/15 09:23,09/12 09:29,17078,391,Metering,0.24074074074074073,12,8,Metering,1,2
?,Broken Arrow MHP - Cust,09/15 10:12,09/12 09:55,17078,391,Failed Cal,0.0,4,0,Calibrating,0,0
?,Broken Arrow MHP - Cust,09/15 07:39,09/12 08:54,17078,391,Failed Cal,0.0,4,0,Calibrating,0,0
?,Forest at Sherman MHC-CUST,09/15 10:40,09/12 10:10,17078,391,Failed Cal,0.0,6,0,Calibrating,0,0
?,Coleman Village MHC-CUST,09/15 09:16,09/12 08:40,17078,391,Calibrating,0.0,8,0,Failed Cal,1,0
?,Coleman Village MHC-CUST,09/15 07:52,09/12 07:58,17078,391,Failed Cal,0.07692307692307693,4,0,Failed Cal,0,0
?,Minot Gardens MHC-Cust,09/15 12:56,09/15 12:58,17040,354,Failed Cal,0.0,4,0,Failed Cal,0,0
?,Wildwood Estates MHC-CUST,09/15 09:08,09/12 09:03,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,Kay Lou-Cust,09/15 10:29,09/12 09:12,17078,391,Failed Cal,0.0,6,0,Calibrating,0,0
?,Maple Run MHC-CUST,09/15 09:38,09/12 08:36,17078,391,Failed Cal,0.04081632653061224,4,0,Failed Cal,0,0
?,Eastwood Hills MHC-CUST,09/15 10:55,09/12 09:33,17078,391,Failed Cal,0.0,3,0,Calibrating,0,0
?,Eastwood Hills MHC-CUST,09/15 09:18,09/12 10:17,17078,391,Failed Cal,0.0,6,0,Calibrating,0,0
?,Eastwood Hills MHC-CUST,09/15 10:32,09/12 09:15,17078,391,Failed Cal,0.0,4,0,Calibrating,0,0
?,Big Country Mobile Home & RV Park-Cust,09/17 04:05,09/17 04:08,16130,296,Metering,1.0,2,1,Metering,0,0
?,Big Country Mobile Home & RV Park-Cust,09/17 07:55,09/17 07:58,17037,344,Metering,1.0,2,1,Metering,0,0
?,Big Country Mobile Home & RV Park-Cust,09/17 07:48,09/17 07:51,17037,344,Metering,1.0,2,1,Metering,0,0
?,Big Country Mobile Home & RV Park-Cust,09/17 08:25,09/17 08:28,16185,314,Metering,1.0,2,1,Metering,0,0
?,Big Country Mobile Home & RV Park-Cust,09/17 04:44,09/17 04:47,16131,296,Metering,1.0,2,1,Metering,0,0
?,Big Country Mobile Home & RV Park-Cust,09/17 08:10,09/17 08:14,17037,344,Metering,1.0,2,1,Metering,0,0
?,Big Country Mobile Home & RV Park-Cust,09/16 18:10,09/16 18:12,17037,344,Metering,1.0,2,1,Metering,0,0
?,Trans Canada,09/15 09:23,09/12 07:51,17078,391,Calibrating,0.0,6,0,Calibrating,0,0
?,Trans Canada,09/15 10:04,09/12 09:58,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,Oaklawn Park HOA - Cust,09/15 07:00,09/14 06:55,17078,391,Calibrating,0.0,4,0,Calibrating,0,0
