04:39:48 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
04:42:49 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
04:45:49 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
04:48:49 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
04:51:50 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
04:54:50 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
04:57:50 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
05:00:51 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
05:03:51 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
05:06:51 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
05:09:52 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
05:12:52 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
05:15:52 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
05:18:53 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
05:21:53 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
05:24:53 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
05:27:54 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
05:30:54 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
05:33:54 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
05:36:55 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
05:39:55 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
05:42:55 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
05:45:56 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
05:48:56 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
05:51:56 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
05:54:57 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
05:57:57 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
06:00:57 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
06:03:58 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
06:06:58 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
06:09:59 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
06:12:59 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
06:15:59 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
06:19:00 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
06:22:00 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
06:25:00 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info70s
06:28:01 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info22s
06:31:01 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info46s
06:34:01 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info23s
06:37:02 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info47s
06:40:02 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info71s
06:43:02 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info47s
06:46:03 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info71s
06:49:03 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info23s
06:52:03 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info71s
06:55:04 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info23s
06:58:04 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info47s
07:01:04 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info23s
07:04:05 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info47s
07:07:05 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info71s
07:10:05 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info47s
07:13:06 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info71s
07:16:06 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info23s
07:19:06 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info71s
07:22:07 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info23s
07:25:07 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info47s
07:28:07 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info23s
07:31:08 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info47s
07:34:08 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info71s
07:37:08 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info47s
07:40:09 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info71s
07:43:09 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info23s
07:46:10 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info71s
07:49:10 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info23s
07:52:10 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info47s
07:55:11 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info23s
07:58:11 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info47s
08:01:11 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info71s
08:04:12 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info47s
08:07:12 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info71s
08:10:12 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info23s
08:13:13 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info47s
08:16:13 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info23s
08:19:13 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info47s
08:22:14 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info23s
08:25:14 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info47s
08:28:14 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info71s
08:31:15 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info23s
08:34:15 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info71s
08:37:15 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info23s
08:40:16 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info47s
08:43:16 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info23s
08:46:16 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info47s
08:49:17 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info71s
08:52:17 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info47s
08:55:17 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info71s
08:58:18 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info23s
09:01:18 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info71s
09:04:19 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info23s
09:07:19 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info47s
09:10:19 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info23s
09:13:20 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info47s
09:16:20 agg3554 | 23:09:20.306 ti f10 c92 g40 e30 rq0 | boots_in_log=30 | info71s
