class,id,group,last_post,fwVer,fwVerTi,tiUartVer,boots_24h,posts_24h,bootReasonFlags,tifota_lastFailedVer,tifota_config_err,tiBslOkCnt,deviceState,VddAdc,meterVal
failed_cal,2d9c0670-a63a-11f1-a1a6-391af391818e,All,09/13 09:37,17037,344,344,0,10,4,0,0,1,Failed Cal,3660,0
failed_cal,2db9eff0-8ab5-11f1-a1a6-391af391818e,All,09/13 08:09,17037,344,344,0,2,20,0,0,11,Failed Cal,3669,0
failed_cal,2dcecab0-a644-11f1-a1a6-391af391818e,All,09/13 09:32,17037,344,344,0,4,20,0,0,1,Failed Cal,3669,0
failed_cal,2ddebf50-a63b-11f1-a1a6-391af391818e,All,09/13 09:38,17037,344,344,0,8,4,0,0,1,Failed Cal,3657,0
failed_cal,2de870d0-8af3-11f1-a1a6-391af391818e,All,09/11 09:39,17037,344,344,0,0,6,0,0,24,Failed Cal,3674,1071
failed_cal,2e00c210-a642-11f1-a1a6-391af391818e,All,09/13 04:09,17037,344,344,0,4,20,0,0,1,Failed Cal,3659,0
failed_cal,2e1e3740-a92d-11f0-98a7-c3bc57f9afe3,GENII Production Failures,09/12 11:15,17060,368,368,0,2,20,0,0,5,Failed Cal,3645,49442
failed_cal,2e931240-e984-11ef-b35e-23eef2ba43da,Green Grove Trailer Court MHC,09/13 08:45,17078,391,391,2,16,20,0,0,3,Failed Cal,3653,11820
failed_cal,30460a60-89f7-11f1-a1a6-391af391818e,All,09/13 08:11,17037,344,344,0,2,20,0,0,5,Failed Cal,3675,0
failed_cal,307bd710-65be-11f1-9333-3b2cfe68422f,Bannock MHP,09/12 10:48,17032,344,344,0,2,4,0,0,24,Failed Cal,3660,0
failed_cal,31303ec0-9a72-11f0-b5af-5dfa9891b485,All,09/13 08:12,17037,344,344,0,4,20,0,0,23,Failed Cal,3652,0
failed_cal,31587d30-01d5-11f0-92a4-09772dfb61f8,Aurora MHC,09/13 09:53,17037,344,344,4,7,4,0,0,1,Failed Cal,3637,0
failed_cal,31840360-8acd-11f1-a1a6-391af391818e,All,09/13 08:38,17037,344,344,0,2,6,0,0,5,Failed Cal,3669,0
failed_cal,31a65600-ad32-11f0-98a7-c3bc57f9afe3,All,09/13 09:38,17037,344,344,0,2,20,0,0,5,Failed Cal,3343,0
