class,id,group,last_post,fwVer,fwVerTi,tiUartVer,boots_24h,posts_24h,bootReasonFlags,tifota_lastFailedVer,tifota_config_err,tiBslOkCnt,deviceState,VddAdc,meterVal
failed_cal,19f962b0-8ad4-11f1-a1a6-391af391818e,All,09/12 08:38,17037,344,344,0,0,4,0,0,6,Failed Cal,3670,0
failed_cal,1a218500-47f5-11f1-969c-6109d9dfb138,GENII Production Failures,09/13 07:58,16185,314,314,0,4,6,0,0,1,Not Metering,3675,0
failed_cal,1a5dc9d0-8ad4-11f1-a1a6-391af391818e,All,09/13 09:28,17037,344,344,0,2,4,0,0,9,Failed Cal,3664,0
failed_cal,1a8aad70-c427-11f0-9842-6d029661c338,All,09/13 09:04,17037,344,344,0,2,4,0,0,1,Failed Cal,3652,1
failed_cal,1bd7dce0-a642-11f1-a1a6-391af391818e,All,09/13 08:46,17037,344,344,0,8,4,0,0,1,Failed Cal,3602,0
failed_cal,1c266cc0-4b16-11f1-bc16-b52012ce6db2,Wintergreen Apartments,09/12 09:48,17037,344,344,0,0,20,0,0,2,Failed Cal,3663,0
failed_cal,1c530f30-4cd0-11f1-b1bb-f3574cce671d,All,09/12 08:09,17037,344,344,0,0,6,0,0,24,Failed Cal,3672,0
failed_cal,1c6454a0-a240-11f1-a1a6-391af391818e,All,09/12 12:28,17037,344,344,0,2,20,0,0,1,Failed Cal,3675,0
failed_cal,1d145e50-8ad4-11f1-a1a6-391af391818e,All,09/13 07:24,17037,344,344,0,2,4,0,0,5,Failed Cal,3667,0
failed_cal,1d28b320-86c2-11f1-a1a6-391af391818e,Lakewood MH Park,09/13 09:43,17037,344,344,0,2,6,0,0,24,Failed Cal,3678,0
failed_cal,1d9a1030-a64b-11f1-a1a6-391af391818e,All,09/13 08:13,17037,344,344,0,16,4,0,0,1,Failed Cal,3637,0
failed_cal,1f8e99c0-a636-11f1-a1a6-391af391818e,All,09/13 03:08,17037,344,344,0,4,4,0,0,1,Failed Cal,3660,0
failed_cal,209e3500-a636-11f1-a1a6-391af391818e,All,09/13 09:35,17037,344,344,0,6,4,0,0,1,Failed Cal,3668,0
failed_cal,20b3a2b0-a63f-11f1-a1a6-391af391818e,All,09/13 09:45,17037,344,344,0,4,4,0,0,1,Failed Cal,3669,0
failed_cal,21060bd0-86ab-11f1-a1a6-391af391818e,Lakewood MH Park,09/13 09:17,17037,344,344,0,4,4,0,0,24,Failed Cal,3672,0
failed_cal,21631f00-8ad4-11f1-a1a6-391af391818e,All,09/13 06:54,17037,344,344,0,2,20,0,0,24,Failed Cal,3666,0
failed_cal,21920b30-89f8-11f1-a1a6-391af391818e,All,09/13 07:55,17037,344,344,0,2,20,0,0,7,Failed Cal,3668,0
failed_cal,2192fa10-e984-11ef-b35e-23eef2ba43da,GENII Production Failures,09/13 08:32,16185,314,314,0,4,6,0,0,1,Not Metering,3583,376431
failed_cal,21f85c70-8420-11f0-8b4a-0d0197d44616,Ponderosa MHC,09/12 11:27,17078,391,391,0,4,6,0,0,7,Failed Cal,3605,23711
failed_cal,225d8fc0-c4bf-11f0-9842-6d029661c338,GENII Production Failures,09/12 08:42,16185,314,314,0,0,6,0,0,1,Not Metering,3660,101362
failed_cal,22954a60-89f8-11f1-a1a6-391af391818e,All,09/13 08:03,17037,344,344,0,2,6,0,0,5,Failed Cal,3675,0
failed_cal,22c257e0-9e66-11f0-b5af-5dfa9891b485,All,09/13 08:56,17037,344,344,0,2,4,0,0,1,Failed Cal,3654,5615
failed_cal,23d46cc0-91dd-11f1-a1a6-391af391818e,All,09/13 08:39,17037,344,344,0,2,20,0,0,2,Failed Cal,3675,0
failed_cal,24095100-86bc-11f1-a1a6-391af391818e,Lakewood MH Park,09/13 09:17,17037,344,344,0,4,20,0,0,24,Failed Cal,3672,0
failed_cal,24305cc0-89f8-11f1-a1a6-391af391818e,All,09/13 08:45,17037,344,344,0,2,20,0,0,7,Failed Cal,3674,0
failed_cal,24654d20-a64c-11f1-a1a6-391af391818e,All,09/13 08:09,17037,344,344,0,5,4,0,0,1,Failed Cal,3662,0
failed_cal,24c49c80-8ab3-11f1-a1a6-391af391818e,All,09/13 09:33,17037,344,344,0,4,6,0,0,11,Failed Cal,3671,0
failed_cal,2500b5b0-8b64-11f1-a1a6-391af391818e,All,09/11 08:55,17037,344,344,0,0,6,0,0,24,Failed Cal,3672,0
