id,name,group,lastPost,fwVer,fwVerTi,deviceState,blank,captureDuration,tofA,tnormStddev,tnormMasd,gain,env,upamp,gatedAggs,tiAggCount,meterVal,failedCal,bBootCount,tiParked,tiWdReset,sfHeld,margin_us
d3457d80-39d5-11f1-b198-172a4a9f25c9,?,Ontario Place MHC-CUST,09/17 06:54,17088,391,Metering,32,15,35658064,41,43,31,46,849,264992,265091,15798.068,false,47,0,15,0,3.66
3e813b30-39d5-11f1-b198-172a4a9f25c9,?,Ontario Place MHC-CUST,09/16 08:35,17088,391,Metering,33,15,35793620,26,36,27,42,1177,174979,178985,50.11,false,32,0,0,0,2.79
39ef08e0-39d5-11f1-b198-172a4a9f25c9,?,Ontario Place MHC-CUST,09/17 07:39,17088,391,Metering,32,15,35748004,74,104,36,50,1142,248354,261541,9.482,false,30,0,0,0,3.75
31a8a830-39d5-11f1-b198-172a4a9f25c9,?,Ontario Place MHC-CUST,09/17 07:39,17088,391,Calibrating,30,30,None,0,0,40,30,40,0,0,0,false,34,0,0,0,
313fd440-39d5-11f1-b198-172a4a9f25c9,?,Ontario Place MHC-CUST,09/17 07:03,17088,391,Metering,33,15,36152564,53,41,29,42,976,286741,299682,14603.109,false,39,0,0,0,3.15
2313e640-39d5-11f1-b198-172a4a9f25c9,?,Ontario Place MHC-CUST,09/17 06:29,17088,391,Metering,33,15,36650064,337,461,30,46,783,98556,254754,5243.893,false,28,0,0,0,3.65
19f9e1e0-39d5-11f1-b198-172a4a9f25c9,?,Ontario Place MHC-CUST,09/16 08:56,17088,391,Metering,33,15,36197820,91,74,30,34,1207,174535,180186,43,false,31,0,0,0,3.20
904ca080-9fc5-11f0-b5af-5dfa9891b485,?,Ontario Place MHC-CUST,09/16 08:59,17088,391,Metering,31,15,36110104,1460,122,48,46,3808,156821,171318,1035162.063,false,154,0,0,0,5.11
2bcf43c0-9fa1-11f0-b5af-5dfa9891b485,?,Ontario Place MHC-CUST,09/17 07:15,17088,391,Calibrating,25,30,36118152,0,0,40,30,22,0,0,34753,false,448,0,0,0,11.12
35ea96e0-8eb4-11f1-a1a6-391af391818e,?,FOTA Test-Cust,09/16 17:44,17088,391,Metering,35,15,38350984,43,56,35,46,938,244975,245030,0,false,4,0,0,0,3.35
d4c450d0-6c13-11f1-9333-3b2cfe68422f,?,Shady Lane MHP-Cust,09/17 07:13,17088,391,Metering,32,15,35990136,19,20,30,46,786,78612,82433,1867.913,false,30,0,0,0,3.99
8a7ca4f0-5499-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/17 06:41,17088,391,Metering,33,15,35896148,64,41,27,38,893,163876,166323,2439.183,false,24,0,0,0,2.90
d036f1e0-5498-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/16 17:13,17088,391,Metering,32,15,35723552,33,37,29,42,1032,112555,113838,666.85,false,23,0,0,0,3.72
4e9f7030-5498-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/17 07:42,17088,391,Metering,32,15,35581768,41,44,34,34,903,167209,171144,4537.498,false,27,0,0,0,3.58
14e37850-5498-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/17 07:01,17088,391,Metering,26,15,29412576,53,75,39,38,940,81002,83978,6324.584,false,27,0,0,0,3.41
058f36f0-5498-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/16 08:16,17088,391,Metering,33,15,36154976,114,157,48,42,822,86588,91442,4521.326,false,27,0,0,0,3.15
fdf89e40-5497-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/16 07:20,17088,391,Metering,33,15,36696756,36,53,28,46,918,76346,77591,6211.569,false,28,0,0,0,3.70
de14dc60-5497-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/17 08:18,17088,391,Metering,26,15,29408028,41,52,34,30,864,48,55,4454,false,28,0,0,0,3.41
c16850b0-5497-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/17 07:07,17088,391,Metering,34,15,37002872,57,66,37,42,676,165288,168512,1994.997,false,33,0,0,0,3.00
a8469971-5497-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/17 07:28,17088,391,Metering,32,15,35782772,255,159,28,34,849,76454,78977,12668.55,false,29,0,1,0,3.78
9c223b40-5497-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/17 07:04,17088,391,Metering,33,15,36602240,55,54,26,42,697,82466,84343,9256.073,false,27,0,0,0,3.60
977ccab0-5479-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/17 07:24,17088,391,Metering,26,15,29452784,126,127,35,42,1110,69845,79186,20334.797,false,30,0,0,0,3.45
58f7ce80-5478-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/17 08:05,17088,391,Metering,32,15,36093064,29,36,26,46,865,167173,168671,9468.656,false,33,0,0,0,4.09
254da410-5478-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/17 07:32,17088,391,Metering,27,15,29683004,45,57,32,38,889,79200,84788,10502.427,false,31,0,0,0,2.68
fd562a40-5477-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/16 08:23,17088,391,Metering,33,15,36400428,17,137,34,38,905,0,51,4480.018,false,29,0,0,0,3.40
6ddfe470-545c-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/17 06:39,17088,391,Metering,25,15,28717766,68,92,39,42,773,82665,82864,1707,false,37,0,0,0,3.72
20bba990-545c-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/17 07:11,17088,391,Metering,26,15,29306640,70,106,36,46,786,79539,83442,14097.604,false,31,0,0,0,3.31
1cb19300-545c-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/16 07:18,17088,391,Calibrating,0,0,35837504,0,58,40,30,0,55184,55365,2383.412,false,30,0,17,0,35.84
03f3f4c0-545c-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/17 07:42,17088,391,Metering,34,15,37019412,25,31,23,38,955,76156,80979,21581.666,false,35,0,0,0,3.02
e9bd4b10-545b-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/17 07:15,17088,391,Metering,33,15,35896920,321,318,38,38,1967,160452,169769,3093.669,false,31,0,1,0,2.90
e9921c60-545b-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/16 06:52,17088,391,Metering,33,15,36143368,37,43,28,42,1122,81633,84739,7821.317,false,32,0,0,0,3.14
c54b0060-545b-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/17 07:20,17088,391,Metering,33,15,35825396,42,44,26,38,916,160472,170520,11943.851,false,39,0,0,0,2.83
c16365f0-545b-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/17 07:31,17088,391,Metering,26,15,29263784,36,41,31,46,869,154847,170637,4338.302,false,36,0,0,0,3.26
b7f2dd20-545b-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/17 07:13,17088,391,Metering,33,15,36332980,29,37,32,46,871,81474,82267,638.365,false,28,0,0,0,3.33
b6f6a2d0-545b-11f1-b1bb-f3574cce671d,?,Shady Lane MHP-Cust,09/15 09:42,17088,391,Metering,32,15,35847844,31,27,24,46,863,10,11,1145,false,33,0,0,0,3.85
fff79f50-6133-11f0-9fcd-87e94e720126,?,Shady Lane MHP-Cust,09/16 08:09,17088,391,Metering,33,15,0,27,31,23,38,1076,83773,84903,41273.773,false,41,0,0,0,
e121b210-52dc-11f0-acb1-514e01860b07,?,Shady Lane MHP-Cust,09/16 06:47,17088,391,Calibrating,30,30,37742324,0,0,55,30,554,0,0,74,false,46,0,0,0,7.74
d4b4bd90-51e9-11f0-acb1-514e01860b07,?,Shady Lane MHP-Cust,09/16 07:07,17088,391,Metering,34,15,36741244,33,35,28,38,1431,80295,86167,7426.933,false,32,0,0,0,2.74
034992e0-409a-11f0-8e55-b138a1c03c8e,?,Shady Lane MHP-Cust,09/17 08:08,17088,391,Metering,26,15,29736850,17,18,23,38,1037,20,20,2910,false,34,0,0,0,3.74
4fe4e590-3da3-11f0-8e55-b138a1c03c8e,?,Shady Lane MHP-Cust,09/16 08:10,17088,391,Metering,33,15,36464840,25,32,23,42,973,84411,84980,412.911,false,35,0,0,0,3.46
dc8803b0-3a88-11f0-8e55-b138a1c03c8e,?,Shady Lane MHP-Cust,09/17 07:27,17088,391,Metering,33,15,36445472,62,68,23,42,852,165558,170436,2045.803,false,37,0,0,0,3.45
704a9de0-25d7-11f0-8272-45e3ef110760,?,Shady Lane MHP-Cust,09/17 08:11,17088,391,Metering,33,15,36239652,25,33,23,30,1320,169224,169265,338.483,false,32,0,0,0,3.24
c1be7e90-bdb2-11ef-8f43-73c96c0de66f,?,Shady Lane MHP-Cust,09/16 06:50,17088,391,Metering,33,15,0,24,30,23,46,1195,83060,84262,1930.759,false,37,0,0,0,
2e0bf770-4d73-11f1-b1bb-f3574cce671d,?,Virginia Beach HOA - Cust,09/17 07:09,17088,391,Calibrating,30,30,0,0,0,40,30,26,0,0,1294,false,45,0,0,0,
a5ec3540-4d71-11f1-b1bb-f3574cce671d,?,Virginia Beach HOA - Cust,09/16 08:10,17088,391,Calibrating,0,0,35928336,0,58,40,30,0,8259,8418,13160,false,50,0,59,0,35.93
1e860670-4d6d-11f1-b1bb-f3574cce671d,?,Virginia Beach HOA - Cust,09/16 07:19,17088,391,Calibrating,25,30,36258000,0,0,40,30,121,0,0,2523,false,52,0,0,0,11.26
76eea3f0-4d66-11f1-b1bb-f3574cce671d,?,Virginia Beach HOA - Cust,09/16 08:24,17088,391,Metering,33,15,35598060,35,49,28,30,979,90211,91542,1041.818,false,140,0,0,0,2.60
af775530-9a2b-11f0-b5af-5dfa9891b485,?,Virginia Beach HOA - Cust,09/17 07:15,17088,391,Calibrating,33,30,0,0,0,40,30,24,0,0,1412,false,78,0,0,0,
ad379e60-9a2b-11f0-b5af-5dfa9891b485,?,Virginia Beach HOA - Cust,09/17 08:23,17088,391,Metering,33,15,36630988,174,143,32,46,830,58543,63993,1954.028,false,207,0,0,0,3.63
a787a000-9a2b-11f0-b5af-5dfa9891b485,?,Virginia Beach HOA - Cust,09/17 08:28,17088,391,Failed Cal,30,30,25482656,0,0,55,30,118,0,0,8423,true,75,0,0,0,-4.52
43fac030-9977-11f0-b5af-5dfa9891b485,?,Virginia Beach HOA - Cust,09/17 07:24,17088,391,Failed Cal,30,30,0,0,0,55,30,93,0,0,1664,true,85,0,0,0,
db204080-9976-11f0-b5af-5dfa9891b485,?,Virginia Beach HOA - Cust,09/16 07:29,17088,391,Calibrating,30,30,36016536,0,0,40,30,30,0,0,898,false,65,0,0,0,6.02
c70863f0-9973-11f0-b5af-5dfa9891b485,?,Virginia Beach HOA - Cust,09/17 08:14,17088,391,Calibrating,33,30,35993716,0,0,40,30,20,0,0,62711,false,76,0,0,0,2.99
d0a57d00-995d-11f0-b5af-5dfa9891b485,?,Virginia Beach HOA - Cust,09/17 08:23,17088,391,Calibrating,33,30,0,0,0,40,30,25,0,0,1335,false,86,0,0,0,
5e886780-994b-11f0-b5af-5dfa9891b485,?,Virginia Beach HOA - Cust,09/17 07:12,17088,391,Failed Cal,25,30,0,0,0,55,30,85,0,0,1878,true,67,0,0,0,
45c60790-98f9-11f0-b5af-5dfa9891b485,?,Virginia Beach HOA - Cust,09/16 08:44,17088,391,Failed Cal,25,30,0,0,0,55,30,120,0,0,30668,true,294,0,0,0,
2a9b8800-98f9-11f0-b5af-5dfa9891b485,?,Virginia Beach HOA - Cust,09/17 07:20,17088,391,Calibrating,33,30,0,0,0,40,30,31,0,0,3121,false,64,0,0,0,
