id,group,groups,class,last_post,age_d,posts_24h,boots_24h,fwVer,fwVerTi,tiUartVer,bBootCount,bootReasonFlags,tifota_lastFailedVer,tifota_config_err,tiBslOkCnt,VddAdc,deviceState,failedCal,tiError,tiRecoveryExhausted,tiParked,sfProbeHeld,radioOveruseCnt,meterVal,tiBootCnt
020b6b00-bbb9-11ed-8426-5912eec2be3c,All,2,stale,07/21 06:03,54.2,0,,10671,,,25,20,,,,,Failed Calibration,,,,,,1,53145,
0211b8d0-26b4-11f0-8272-45e3ef110760,The Oaks MHC,2,ok,09/13 08:48,0.0,2,0,16185,314,3074,27,6,0,0,1,3662,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,16777216,1
0212e4f0-a63b-11f1-a1a6-391af391818e,All,2,failed_cal,09/12 11:48,0.9,2,0,17037,344,344,16,4,0,0,1,3665,Failed Cal,true,00000000 00000000 00000000 0000E080 00000180 00000000 00000000 00000000,0,,,3,0,8
022212f0-0589-11ee-b15d-e3ac404013cb,All,1,stale,10/08 16:06,704.7,0,,10660,,,2,4,,,,,Failed Calibration,,,,,,1,59118,
023ab970-8211-11eb-ac50-8381cc3854c3,All,1,stale,05/18 18:00,1943.7,0,,549,,,5,,,,,,,,,,,,,0,
02644d80-89e5-11f1-a1a6-391af391818e,Hoosier Park MHC,2,ok,09/13 07:45,0.1,2,0,17032,344,344,27,4,0,0,14,3675,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,3878.726,3
026ba680-8898-11ee-b77b-c10d9e19b72d,Ridgewood Gardens,2,ti_dead,09/10 05:55,3.2,0,0,10671,,,33,20,,,,,Standby,,,,,,1,26282,
026d86d0-f23b-11f0-8900-8bd481ce9a44,Lantana Trail,2,ok,09/12 12:10,0.9,2,0,16185,314,314,25,6,0,0,1,3662,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,371.311,1
027993f0-9441-11ec-a577-bf676923aa1d,Mill Creek Estates,2,ti_dead,09/13 06:01,0.2,1,0,10671,,,43,20,,,,,Metering,,,,,,1,178602,
028670a0-f65a-11f0-b153-63024d3301e1,Hydetown Mobile Estates,2,ok,09/13 03:36,0.3,1,0,15091,255,,19,6,,0,,3649,Metering,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,,,,1,20191.357,
028ee1e0-dacb-11f0-b691-d965a62fa4fa,All,2,stale,12/16 14:14,270.8,0,,10300,159,,12,4,,,,,Not Metering,,,,,,1,0,
0291b4c0-ad91-11ed-8426-5912eec2be3c,Tucson East,2,ti_dead,09/10 07:07,3.1,0,0,10671,,,40,20,,,,,Metering,,,,,,1,795,
02974cc0-1f1f-11ec-94c5-95a06fbff7ce,Sage,2,stale,10/18 04:46,695.2,0,,10671,,,49,6,,,,,Metering,,,,,,1,45560,
029a9c60-cf7e-11ee-b85d-dba39f676200,Singing Pines,2,stale,06/23 15:08,81.8,0,,10706,,,80,20,,,,,Metering,,,,,,8,387560,
02a30f90-847b-11f0-8b4a-0d0197d44616,All,2,stale,03/20 09:42,177.0,0,,363,219,,13,6,,0,,3658,Not Metering,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,,,,1,0,
02a577b0-20fc-11ee-8565-6b22fca7e896,All,2,stale,02/10 03:50,580.2,0,,10671,,,51,4,,,,,Metering,,,,,,1,5204,
02b01000-1947-11ef-b5d9-bf75c1762495,Green Forest,2,stale,01/13 02:19,243.3,0,,10671,,,16,4,,,,,Metering,,,,,,1,9621,
02b4d3a0-f65a-11f0-b153-63024d3301e1,Hydetown Mobile Estates,2,ok,09/12 05:24,1.2,0,0,15091,255,,19,6,,0,,3652,Metering,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,,,,1,4939.062,
02b7a910-a63e-11f1-a1a6-391af391818e,All,2,failed_cal,09/13 09:40,0.0,8,0,17037,344,344,16,4,0,0,1,3664,Failed Cal,true,00000000 00000000 00000000 0000E080 00000780 00000000 00000000 00000000,0,,,3,0,4
02bbaf00-842b-11f0-8b4a-0d0197d44616,Kachina,2,ok,09/13 04:46,0.2,1,0,362,209,,39,6,,0,,3650,Metering,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,,,,1,17409.918,
02bbd8b0-6674-11f0-8658-7f4e94e41769,All,2,stale,11/24 09:51,293.0,0,,10300,137,,19,6,,,,,Not Metering,,,,,,1,0,
02bcfd30-1f1f-11ec-94c5-95a06fbff7ce,All,2,stale,01/21 04:43,600.2,0,,10693,,,28,20,,,,,Standby,,,,,,1,44389,
02c40df0-18d0-11ec-94c5-95a06fbff7ce,All,2,ti_dead+failed_cal,09/10 05:14,3.2,0,0,10671,,,34,20,,,,,Failed Calibration,,,,,,1,45282,
