name,devname,Property,pipeType,pipesize,pin_blank,pin_capture,pin_calMinBlank,pin_lFactor,fwVer,fwVerTi,state,gain,env,blank,capture,tnQuietSd,tnQuietN,offset,tofA_us,tofB_us,tofA_ts
8f232490-5483-11f1-b1bb-f3574cce671d,Device 75365567,Roosevelt MHC,M,¾,,,,,16131,296,Metering,50,56,40,15,,,-768,43.567488,43.566288,09/18 04:12
2e6d4260-65be-11f1-9333-3b2cfe68422f,Device 75365575,Oswego MHP,X,¾,,,,,17037,344,Metering,47,48,34,15,,,-4879,38.238332,38.238704,09/18 07:43
2b90b220-5461-11f1-b1bb-f3574cce671d,Device 75365583,,,,,,,,16022,260,Not Metering,35,33,0,0,,,0,,,12/31 16:00
ec103520-48bd-11f1-bc16-b52012ce6db2,Device 75365591,Maple Creek Estates MHC,P,1,,,,,16185,314,Metering,55,61,28,15,,,-2048,39.3312,39.328568,09/18 08:10
af0400d0-48bd-11f1-bc16-b52012ce6db2,Device 75365609,Maple Creek Estates MHC,X,½,,,,,16185,314,Not Metering,20,33,25,30,,,0,30.296606,30.296778,06/03 12:34
f6e6fca0-fe2a-11f0-8726-d3fa6d0d96af,Device 75365617,Highlands MHC,X,¾,34,11,,,362,209,Metering,18,36,34,11,,,320,35.80954,35.803456,
15387be0-48c0-11f1-bc16-b52012ce6db2,Device 75365625,Grand Valley Estates MHC,X,¾,,,,,17037,344,Metering,35,39,32,15,,,-1605,36.371016,36.369944,09/18 08:42
bcc20420-47f4-11f1-969c-6109d9dfb138,Device 75365633,Alta Vista MHC,P,¾,,,,,17037,344,Metering,41,35,36,15,,,-6716,39.574176,39.56904,08/13 07:42
1b9c99f0-48be-11f1-bc16-b52012ce6db2,Device 75365641,,,,,,,,15155,260,Not Metering,35,33,0,0,,,0,,,12/31 16:00
df4ffb70-4cf7-11f1-b1bb-f3574cce671d,Device 75365658,Grand Valley Estates MHC,X,¾,,,,,17037,344,Metering,26,35,33,15,,,-2130,36.942048,36.938736,08/04 04:10
43a221d0-0c97-11f1-8768-5551e7a34f27,Device 75365666,Oaklawn Park HOA,C,¾,,,,,15090,254,Metering,22,64,30,15,,,3264,39.997636,40.001536,
f4a2ded0-0c69-11f1-8768-5551e7a34f27,Device 75365674,Mill Creek Estates,M,¾,,,,,16131,296,Metering,35,55,35,15,,,-2816,38.615112,38.618544,
08aea960-47f5-11f1-969c-6109d9dfb138,Device 75365682,Alta Vista MHC,C,¾,,,,,17037,344,Metering,26,50,32,15,,,-1716,37.225832,37.22428,09/18 09:43
51ab8690-3aa0-11f1-b198-172a4a9f25c9,Device 75365690,Fair Meadows MHC,P,¾,,,,,16022,260,Metering,32,34,35,10,,,-1920,39.243972,39.241856,09/18 03:54
1a218500-47f5-11f1-969c-6109d9dfb138,Device 75365708,Lakeview MHC,P,¾,,,,,16185,314,Not Metering,20,33,25,30,,,0,0.0,0.0,07/15 10:06
d7237060-0c35-11f1-8768-5551e7a34f27,Device 75365716,Broken Arrow MHP,P,¾,,,,,16131,296,Not Metering,55,33,25,30,,,0,24.808584,24.888356,07/21 00:43
e8025ad0-4ceb-11f1-b1bb-f3574cce671d,Device 75365724,,,,,,,,16022,260,Not Metering,35,33,0,0,,,0,,,12/31 16:00
f0f7f1a0-4cc7-11f1-b1bb-f3574cce671d,Device 75365732,Haven MHP,,,,,,,16131,296,Not Metering,55,33,25,30,,,0,0.0,0.0,09/17 23:49
8e0e9800-4cc7-11f1-b1bb-f3574cce671d,Device 75365740,Haven MHP,X,½,,,,,17088,391,Calibrating,40,30,25,30,,,0,24.863388,27.206876,08/26 01:02
0f5b96d0-4d02-11f1-b1bb-f3574cce671d,Device 75365757,Grand Valley Estates MHC,X,¾,,,,,17088,391,Calibrating,40,30,30,30,,,0,24.805782,24.812868,07/15 01:34
53a929c0-59f9-11f1-b1bb-f3574cce671d,Device 75365765,Parkwood,X,¾,,,,,16022,260,Metering,26,37,33,15,,,1024,36.62964,36.629772,09/18 04:22
1916a4b0-47f5-11f1-969c-6109d9dfb138,Device 75365781,,,,,,,,15155,260,Not Metering,35,33,0,0,,,0,,,12/31 16:00
c4412030-603d-11f1-89ca-a986714faa23,Device 75365799,River Bend-Cust,X,½,,,,,17037,344,Metering,35,36,26,15,,,4093,29.318398,29.322524,09/16 10:56
80db08a0-6c14-11f1-9333-3b2cfe68422f,Device 75365807,Kay Lou MHC,P,¾,,,,,16131,296,Metering,50,33,36,15,,,-1920,38.943788,38.941284,09/18 04:02
a5ead2b0-4b21-11f1-bc16-b52012ce6db2,Device 75365815,Wintergreen Apartments,X,¾,,,,,17037,344,Metering,41,43,32,15,,,-485,39.499868,39.498256,
598731e0-65be-11f1-9333-3b2cfe68422f,Device 75365823,Oswego MHP,X,½,,,,,17037,344,Metering,38,48,26,15,,,-491,29.810146,29.8108,09/18 07:09
b60baf50-5497-11f1-b1bb-f3574cce671d,Device 75365831,,,,,,,,16022,260,Not Metering,35,33,35,15,,,0,,,12/31 16:00
ab323880-59f9-11f1-b1bb-f3574cce671d,Device 75365849,,,,,,,,16022,260,Not Metering,35,33,0,0,,,0,,,12/31 16:00
ed4a8750-5499-11f1-b1bb-f3574cce671d,Device 75365856,,,,,,,,16022,260,Not Metering,35,33,0,0,,,0,,,12/31 16:00
43967bb0-6c13-11f1-9333-3b2cfe68422f,Device 75365864,Kay Lou MHC,P,¾,,,,,16131,296,Metering,45,45,39,15,,,512,44.865664,44.865776,09/18 01:54
fa6330e0-0c69-11f1-8768-5551e7a34f27,Device 75365872,Mill Creek Estates,C,¾,,,,,363,219,Metering,27,39,30,15,,,2752,36.057052,36.058736,
2affec50-0e6f-11f1-85e5-65eb60735c3d,Device 75365880,CJ,L,1,42,,,,16131,296,Metering,40,36,42,15,,,-1408,0.0,0.0,
4e9f7030-5498-11f1-b1bb-f3574cce671d,Device 75365898,Shady Lane MHP,X,¾,,,,,17088,391,Metering,34,34,32,15,,,1819,35.59708,35.597044,09/17 23:42
