serial,property,apartment,fwVerTi,gain,up_ppk,tnormStddev,flag
70273006,La Comunidad MHC,85,314,25,723,3433,NOISY-COMMIT
72718077,Lantana Trail,3618-1,314,30,825,3417,NOISY-COMMIT
75361251,Broadway MHP DesMoines,26,344,35,2419,3322,NOISY-COMMIT
72386343,Chickadee Lane MHC,927-TOWHEE,344,35,1243,3207,NOISY-COMMIT
72385006,Virginia Beach,148,344,41,2723,3155,NOISY-COMMIT
70265226,Ibiza Village2,11,344,41,429,2976,NOISY-COMMIT
79467013,Grand Valley Estates MHC,29-STONEVALLEY-DR,344,35,1050,2964,NOISY-COMMIT
65824586,Ontario Place MHC,5,314,40,2402,2859,NOISY-COMMIT
72383928,Sunnyvale MHP,119,296,45,2454,2713,NOISY-COMMIT
72716113,Riverview Apartments MF,28,344,44,2580,2480,NOISY-COMMIT
72390998,Oak Forest Estate MHC,29,344,29,891,2311,NOISY-COMMIT
65826979,PW2,3107LINDA,314,45,2517,2262,NOISY-COMMIT
79461768,Shady Lane MHP,21 Maple Lane,341,44,2411,2200,NOISY-COMMIT
72390535,La Comunidad MHC,64,314,40,859,2182,NOISY-COMMIT
72387911,Stafford MHC,521,314,40,746,2174,NOISY-COMMIT
75363554,Oak Forest Estate MHC,15,344,41,772,2156,NOISY-COMMIT
75373710,Highlands MHC,10A,344,38,893,2106,NOISY-COMMIT
79454896,Grand Valley Estates MHC,111-SHENNADOH-DR,344,26,1025,2095,NOISY-COMMIT
75373314,Estancia MHP,150,344,35,596,2065,NOISY-COMMIT
72714977,Kay Bee Mobile Villa MHP,8,296,45,2768,2015,NOISY-COMMIT
72387259,Crystal Acres MHC,45,344,44,2481,2013,NOISY-COMMIT
65828652,PW2,5186JOHN,314,30,1186,1942,NOISY-COMMIT
70263726,Chickadee Lane MHC,404-QUAILCIRCLE,314,30,1149,1825,NOISY-COMMIT
72388125,Ponderosa MHC,28,344,35,401,1799,NOISY-COMMIT
72385733,Virginia Beach,207,344,44,2624,1784,NOISY-COMMIT
72721162,Parker MHC,26,314,40,769,1748,NOISY-COMMIT
70260078,The Oaks MHC,3,296,35,551,1743,NOISY-COMMIT
72388703,Lafountaine MHC,101PV,296,25,508,1733,NOISY-COMMIT
75368413,Grand Valley Estates MHC,7-STONEVALLEY-DR,344,29,1214,1729,NOISY-COMMIT
77053264,Aurora MHC,210,296,45,2434,1720,NOISY-COMMIT
72714423,GenII Water Flow,NEW-3,344,38,1659,1704,NOISY-COMMIT
72389842,Pace East,31,314,40,555,1646,NOISY-COMMIT
72383100,Virginia Beach,220,344,26,952,1614,NOISY-COMMIT
72385527,Kay Lou MHC,700-R,296,40,511,1556,NOISY-COMMIT
79453898,Grand Valley Estates MHC,4-AMOSVALLEY-DR,344,26,723,1431,NOISY-COMMIT
72382995,Virginia Beach,93,344,44,2705,1421,NOISY-COMMIT
75370831,The O in La Marque,15,314,25,641,1397,NOISY-COMMIT
72390337,Virginia Beach,104,344,35,1328,1317,NOISY-COMMIT
75371409,Pace East,22,296,35,644,1269,NOISY-COMMIT
75361616,Highland Terrace,59,314,40,1131,1187,NOISY-COMMIT
72386665,Avetis 5YR,ADU1,295,45,615,1147,NOISY-COMMIT
75372035,The O in La Marque,3,344,29,1302,1141,NOISY-COMMIT
75367100,Shady Lane MHP,5033 Spruce Lane,344,41,2434,1111,NOISY-COMMIT
70258619,Green Grove Trailer Court MHC,21,296,45,2726,1099,NOISY-COMMIT
72386574,Chickadee Lane MHC,822-CHICKADEE,314,45,2846,1038,NOISY-COMMIT
79455877,Shirlee's MHP,5,344,44,2755,1021,NOISY-COMMIT
72386285,La Comunidad MHC,93,314,50,760,1008,NOISY-COMMIT
72722962,Hillview MHC,20,344,50,445,944,NOISY-COMMIT
72721956,Kay Bee Mobile Villa MHP,53,296,55,469,932,NOISY-COMMIT
72379256,Rusk MHC,43,344,29,561,925,NOISY-COMMIT
68588134,Parkview MHP,78,314,55,975,913,NOISY-COMMIT
