serial,apt,n_pre,n_post,zero_pre,conf_pre,zero_post,conf_post,noise_pre,noise_post,dir_rep_pre,dir_rep_post,dir_draw_post,pos_post,neg_post
70267966,40 Maple Lane APT #5,20000,5802,5227,HIGH,5464,HIGH,169.8,112.2,NOT FLIPPED,NOT FLIPPED,ambiguous,536,909
70268832,116 Shady Lane,11168,0,-5,HIGH,,,206.5,,FLIPPED,FLIPPED,no draws,,
70268923,47,20000,5516,-23,MED,797,MED,153.1,285.2,UNKNOWN,FLIPPED,FLIPPED,32,1647
70268956,217,8144,32,-6,HIGH,,,405.7,,NOT FLIPPED,NOT FLIPPED,no draws,,
70269160,22,20000,3,3583,MED,,,446.6,,NOT FLIPPED,NOT FLIPPED,no draws,,
70269228,16,102,36,-1009,LOW,-50,MED,377.4,95.4,FLIPPED,UNKNOWN,no draws,0,0
70270143,33,0,20000,,,-13,HIGH,,62.9,FLIPPED,UNKNOWN,no draws,0,0
70271133,1008,20000,7167,-3273,MED,24,HIGH,158.3,94.4,FLIPPED,FLIPPED,no draws,0,0
70271315,192,20000,557,7336,MED,-6888,MED,48.2,94.4,UNKNOWN,FLIPPED,NOT FLIPPED,50,1
70272313,47,6,1299,,,-4744,MED,,93.3,NOT FLIPPED,FLIPPED,FLIPPED,155,689
72378456,TEST6,20000,20000,10,HIGH,0,HIGH,83.9,62.9,UNKNOWN,NOT FLIPPED,NOT FLIPPED,47,0
72379256,43,20000,11,-126,MED,,,451.8,,FLIPPED,FLIPPED,no draws,,
72381658,26,20000,20000,-3918,HIGH,20,HIGH,112.2,77.6,FLIPPED,UNKNOWN,FLIPPED,33,1371
72383175,48,445,6,776,LOW,,,370.1,,UNKNOWN,UNKNOWN,no draws,,
