serial,property,fwVer,fwVerTi,ageDays,dropouts120d,qual0frac30d,qualN,hardResets,tier
65826920,Sara Drive MHP,362,209,494,0,0.00,57,0,OK
65826953,Aurora MHC,16131,296,480,0,0.00,30,0,OK
65826979,PW2,16185,314,601,1,0.00,58,2,MED
65827001,Estancia MHP,15147,256,569,0,0.00,30,0,OK
65827027,Aurora MHC,16131,296,564,0,0.00,30,0,OK
65827035,Sara Drive MHP,362,209,564,0,0.00,60,0,OK
65827043,Eastwood Hills MHC,362,209,566,0,0.00,59,0,OK
65827076,Sara Drive MHP,362,209,599,0,0.00,57,0,OK
65827092,Fair Meadows MHC,16022,260,451,0,0.00,30,0,OK
65827134,Canada,362,209,451,0,0.00,60,0,OK
65827142,Parkview MHP,16185,314,613,1,0.00,60,2,MED
65827159,Oaklawn Park HOA,15090,254,527,0,0.00,30,0,OK
65827175,Minot Gardens MHC,16131,296,562,0,0.00,30,0,OK
65827209,Estancia MHP,15147,256,563,0,0.00,30,0,OK
65827233,Estancia MHP,15147,256,567,0,0.00,30,0,OK
65827258,Forest at Sherman MHC,362,209,527,0,0.00,61,0,OK
65827290,PW2,16185,314,566,1,0.00,78,2,MED
65827340,Kingsbrook MHC,17037,344,451,1,0.08,53,0,MED
65827365,Fair Meadows MHC,16022,260,531,0,0.00,30,0,OK
65827423,Maple Run MHC,362,209,527,0,0.00,60,0,OK
65827514,PW2,17037,344,567,1,0.02,61,0,MED
65827555,Sara Drive MHP,362,209,566,0,0.00,61,0,OK
65827589,Holly Tree MHP,16185,314,481,1,0.00,60,1,MED
65827621,Parkview MHP,17037,344,494,1,0.02,62,0,MED
65827647,PW2,16022,260,494,0,0.00,30,0,OK
65827662,Browns MHP,15154,260,527,0,0.00,30,0,OK
65827670,Parkview MHP,17037,344,562,1,0.04,49,0,MED
65827688,Estancia MHP,15147,256,558,0,0.00,30,0,OK
65827696,Sky Run,16131,296,480,0,0.77,30,0,HIGH
65827712,The Oaks MHC,16131,296,557,0,0.00,30,0,OK
65827720,Parkview MHP,16185,314,457,1,0.00,60,2,MED
65827746,Whispering Pines Mobile Estates,362,209,613,0,0.00,59,0,OK
65827761,Estancia MHP,16185,314,614,1,0.00,60,2,MED
65827787,Oakwood MHP,16185,314,591,1,0.00,146,2,MED
65827795,Alta Vista MHC,16185,314,591,1,0.00,60,2,MED
65827803,Sara Drive MHP,362,209,599,0,0.00,61,0,OK
65827845,Forest at Sherman MHC,17037,344,584,1,0.00,342,0,MED
65827852,Sara Drive MHP,362,209,579,0,0.00,59,0,OK
65827928,PW2,16185,314,591,1,0.00,60,2,MED
65828009,Oaklawn Park HOA,16185,314,617,1,0.08,50,2,MED
65828017,Country Squire MHC,16185,314,584,2,0.00,60,0,MED
65828033,Minot Gardens MHC,17037,344,614,1,0.11,19,0,MED
65828074,Kingsbrook MHC,16131,296,613,0,0.00,29,0,OK
65828132,The Oaks MHC,16131,296,564,0,0.00,30,0,OK
65828165,The Oaks MHC,16131,296,494,0,0.00,30,0,OK
65828199,Estancia MHP,16128,295,566,0,0.00,30,0,OK
65828223,Parkview MHP,17037,344,563,1,0.03,64,0,MED
65828249,Estancia MHP,15147,256,613,0,0.00,30,0,OK
65828314,W Poplar St Triplex,362,209,494,0,0.00,59,0,OK
65828421,Parkview MHP,16185,314,601,1,0.00,60,2,MED
65828447,PW2,16185,314,494,1,0.00,60,2,MED
65828462,Parkway MHC,16022,260,601,0,0.00,30,0,OK
65828488,PW2,16022,260,619,0,0.00,30,0,OK
65828496,Kingsbrook MHC,16131,296,613,0,0.00,30,0,OK
65828504,Oakwood MHP,16022,260,570,0,0.00,30,0,OK
65828512,Oaklawn Park HOA,15090,254,613,0,0.00,29,0,OK
65828520,Shady Lane MHP,17028,341,614,4,0.30,74,0,HIGH
65828553,Virginia Beach,17037,344,602,1,0.14,87,0,MED
65828595,Parkwood,17037,344,591,1,0.02,62,0,MED
65828645,The Oaks MHC,16131,296,566,0,0.00,30,0,OK
65828652,PW2,16185,314,619,1,0.00,92,2,MED
65828660,Oaklawn Park HOA,15090,254,619,0,0.00,29,0,OK
65828710,Canada,362,209,451,0,0.00,60,0,OK
65828728,Browns MHP,15154,260,601,0,0.00,30,0,OK
65828777,The Oaks MHC,16131,296,601,0,0.00,30,0,OK
65828785,Kingsbrook MHC,16131,296,562,0,0.00,30,0,OK
65828801,Hoosier Park MHC,17032,344,614,1,0.03,63,0,MED
65828835,Maple Run MHC,362,209,531,0,0.00,47,0,OK
65828918,Oak Forest Estate MHC,17037,344,562,1,0.02,60,0,MED
65828934,Eastwood Hills MHC,362,209,599,0,0.00,36,0,OK
65828942,Fair Meadows MHC,16022,260,591,0,1.00,30,0,HIGH
65828967,Aurora MHC,16131,296,480,0,0.00,30,0,OK
65828983,PW2,16131,296,599,0,0.00,30,0,OK
65829023,Kingsbrook MHC,16131,296,590,0,0.00,30,0,OK
65829031,Maple Run MHC,362,209,601,0,0.00,53,0,OK
65829080,Aurora MHC,16022,260,614,0,0.00,30,0,OK
65829122,Parkview MHP,16130,296,590,0,0.00,31,0,OK
65829130,Sara Drive MHP,362,209,562,0,0.00,60,0,OK
65829155,Forest at Sherman MHC,362,209,578,0,0.00,60,0,OK
65829171,Fair Meadows MHC,16022,260,566,0,0.00,30,0,OK
65829205,Forest at Sherman MHC,16185,314,480,1,0.00,60,2,MED
65829221,Roosevelt MHC,16131,296,584,0,0.00,30,0,OK
65829239,Alta Vista MHC,16131,296,619,0,0.00,30,0,OK
65829270,Forest at Sherman MHC,16185,314,527,1,0.00,60,2,MED
65829288,Chickadee Lane MHC,16185,314,481,1,0.00,60,2,MED
65829296,PW2,16022,260,569,0,0.00,32,0,OK
65829312,Virginia Beach,17037,344,570,2,0.46,84,0,MED
65829353,Lakeview MHC,362,209,570,0,0.00,60,0,OK
65829395,Oaklawn Park HOA,16185,314,455,1,0.02,41,2,MED
65829429,Aurora MHC,16022,260,527,0,0.00,30,0,OK
65829452,Aurora MHC,16022,260,527,0,0.00,30,0,OK
65829478,Carolina Springs MHP,16131,296,527,0,0.00,22,0,OK
65829494,Forest at Sherman MHC,362,209,562,0,0.00,41,0,OK
65829510,Estancia MHP,16128,295,569,0,0.00,30,0,OK
65829544,Wildwood Village MHC,16185,314,567,1,0.00,64,2,MED
65829569,Trans Canada,362,209,527,0,0.00,60,0,OK
65829577,Holly Tree MHP,16185,314,562,2,0.00,58,0,MED
65829684,Ponderosa MHC,17037,344,570,1,0.02,61,0,MED
65829700,Holly Tree MHP,16185,314,480,1,0.00,60,2,MED
65829809,Browns MHP,15154,260,562,0,0.00,30,0,OK
65829908,Westview Mobile Estates MHC,362,209,527,0,0.00,59,0,OK
65829924,Sara Drive MHP,362,209,566,0,0.00,60,0,OK
65829940,Oaklawn Park HOA,15090,254,563,0,0.00,29,0,OK
65829981,Estancia MHP,16128,295,564,0,0.00,30,0,OK
65830005,Fair Meadows MHC,16022,260,557,0,0.00,35,0,OK
65830013,Parkway MHC,16022,260,564,0,0.00,30,0,OK
65830021,Fair Meadows MHC,16022,260,527,0,0.00,30,0,OK
65830039,Backcountry MHC,16185,314,563,1,0.00,63,2,MED
65830047,Oakwood MHP,16185,314,562,1,0.00,60,2,MED
65830054,Eastwood Hills MHC,16185,314,494,1,0.00,60,2,MED
65830088,Forest at Sherman MHC,17037,344,564,1,0.01,188,0,MED
65830096,Parkway MHC,16022,260,527,0,0.00,30,0,OK
65830112,Holly Tree MHP,16185,314,527,1,0.00,58,0,MED
65830138,Estancia MHP,15147,256,562,0,0.00,52,0,OK
65830161,Estancia MHP,15147,256,563,0,0.00,31,0,OK
65830229,Lakeview MHC,362,209,579,0,0.00,60,0,OK
65830237,Kingsbrook MHC,16022,260,557,0,0.00,30,0,OK
65830245,The Oaks MHC,16131,296,527,0,0.00,30,0,OK
65830260,Trans Canada,362,209,558,0,0.00,60,0,OK
65830278,Whispering Pines Mobile Estates,362,209,563,0,0.00,61,0,OK
65830286,Oaklawn Park HOA,15090,254,527,0,0.00,30,0,OK
65830294,Aurora MHC,16131,296,527,0,0.00,30,0,OK
