group,serial,id,apt,state,fw,fwti,gain,tiPulse,crash,seen_h,nowater,pipe
High Street,70270523,5a7025b0-52b6-11f0-acb1-514e01860b07,1,Not Metering,362,209,41,,1,4046.7,false,P ¾
High Street,70269780,45a98b30-52b6-11f0-acb1-514e01860b07,15,Not Metering,16185,314,20,,0,1259.9,false,P ½
High Street,70266745,563a1d20-52b6-11f0-acb1-514e01860b07,20,Not Metering,15154,260,35,,0,3272.8,false,P ½
Highlands MHC,75372761,c8d00eb0-fe07-11f0-8726-d3fa6d0d96af,11A,Failed Cal,17060,368,55,13,0,1.0,false,P ¾
Hillview MHC,72716543,84d67350-e487-11f0-8900-8bd481ce9a44,13,Failed Cal,17060,368,26,13,0,9.5,false,P ½
Hillview MHC,72719331,16b5b290-01de-11f1-af1d-29d4205d602a,25,Failed Cal,17060,368,55,13,0,9.7,false,P 1
Hillview MHC,72723010,62cd6070-e487-11f0-8900-8bd481ce9a44,4,Failed Cal,17040,354,55,,2,322.6,false,P ¾
Hillview MHC,72721592,6af870f0-e487-11f0-8900-8bd481ce9a44,22-RETURN-TO-DUNE,Not Metering,16048,260,33,,0,2269.6,false,P ¾
Hillview MHC,72722517,79ce0c70-e487-11f0-8900-8bd481ce9a44,24,Not Metering,16185,314,25,,0,10.6,false,P ¾
Island Club MHC-CUST,75368496,255c6390-5498-11f1-b1bb-f3574cce671d,110,Failed Cal,17060,368,55,13,0,12.2,false,M ¾
Johnson's Trailer Park,72723432,626d0930-f186-11f0-8900-8bd481ce9a44,14,Failed Cal,17060,368,55,13,0,11.5,false,M ½
Kachina,72388844,23a3e890-842b-11f0-8b4a-0d0197d44616,8,Calibrating,17060,368,40,13,0,8.0,false,X ¾
Kachina,70269251,8a11ff10-62a0-11f0-8658-7f4e94e41769,6,Failed Cal,17060,368,55,13,0,7.9,false,P ¾
Kay Bee Mobile Villa MHP,75371904,579a7e70-4b22-11f1-bc16-b52012ce6db2,105,Failed Cal,17060,368,55,13,0,7.6,false,M ¾
Kay Bee Mobile Villa MHP,72721865,a4c32760-c431-11f0-9842-6d029661c338,14,Failed Cal,17060,368,55,13,0,7.3,false,P ¾
Kay Bee Mobile Villa MHP,70271810,f4a30410-cf9b-11f0-9bfa-a7eff651ff22,90,Failed Cal,17060,368,55,13,0,7.8,false,M ¾
Kay Lou-Cust,79460919,0827cac0-6c13-11f1-9333-3b2cfe68422f,2624-I,Failed Cal,17060,368,55,13,0,9.8,false,P ¾
Kay Lou-Cust,75374510,db887e50-6c13-11f1-9333-3b2cfe68422f,700-T,Not Metering,16131,0,0,,20,1211.2,false,P ¾
Kingsbrook MHC,75367050,a74ed380-4d66-11f1-b1bb-f3574cce671d,778AM,Failed Cal,17060,368,55,13,0,12.2,false,M ½
Kingsbrook MHC,77055954,3fd8e490-3db1-11f0-8e55-b138a1c03c8e,2609T,Not Metering,16048,272,45,,0,2429.7,false,L ¾
Kingsbrook MHC,65823976,11b0a780-bda8-11ef-8f43-73c96c0de66f,712MI,Not Metering,16048,272,45,,0,2438.0,false,M ¾
Kingsbrook MHC,70267198,b77f9be0-666c-11f0-8658-7f4e94e41769,769AS,Not Metering,16048,272,45,,0,2438.2,false,M ½
Kingsbrook MHC,77055392,b802d6d0-3d05-11f0-8e55-b138a1c03c8e,787AS,Not Metering,16048,260,33,,2,2390.8,false,X ¾
La Comunidad MHC-CUST,70258775,530bfd40-a95e-11f0-98a7-c3bc57f9afe3,102,Not Metering,16048,272,45,,0,2438.2,false,P ¾
La Comunidad MHC-CUST,70269590,bf06a450-a940-11f0-98a7-c3bc57f9afe3,13,Not Metering,15155,260,35,,0,3063.7,false,P ¾
La Comunidad MHC-CUST,70266026,9c0834d0-ad39-11f0-98a7-c3bc57f9afe3,48,Not Metering,16048,272,45,,0,2438.2,false,P ¾
La Comunidad MHC-CUST,72384082,8b565f40-ad39-11f0-98a7-c3bc57f9afe3,51,Not Metering,15155,260,35,,0,3063.2,false,P ¾
La Comunidad MHC-CUST,70259302,63c47f20-a082-11f0-b5af-5dfa9891b485,70,Not Metering,16048,272,35,,0,2439.7,false,P ¾
La Comunidad MHC-CUST,72383944,e5039440-ad3e-11f0-98a7-c3bc57f9afe3,84,Not Metering,16131,0,0,,5,1548.6,false,P ¾
Lafountaine MHC,72380866,627f6590-84a2-11f0-8b4a-0d0197d44616,125CC,Calibrating,17060,368,40,13,1,9.1,false,X ¾
Lafountaine MHC,70262942,a366d840-84a2-11f0-8b4a-0d0197d44616,127CC,Not Metering,16131,0,0,,35,58.0,false,X ¾
Lafountaine MHC,77056085,86fb2dd0-4151-11f0-8e55-b138a1c03c8e,202PV,Not Metering,16048,272,45,,0,2438.4,false,X ¾
Lafountaine MHC,65829890,2a1f5e60-e5a8-11ef-a76f-4d93d4a482f0,203PV,Not Metering,15019,219,41,,0,3255.7,false,P ¾
Lake Charles Duplexes,79462105,38bde230-3aa1-11f1-b198-172a4a9f25c9,874B,Failed Cal,17060,368,55,13,123,8.0,false,M 1
Lake Charles Duplexes,75374601,261593d0-3aa1-11f1-b198-172a4a9f25c9,868A,Not Metering,16131,0,0,,16,805.1,false,M ¾
Lake Road Village RV Park-Cust,72386996,5154af00-ad3d-11f0-98a7-c3bc57f9afe3,5,Calibrating,17060,368,40,13,0,9.7,false,X ¾
Lakeview MHC-CUST,70262074,c2a9cde0-66b4-11f0-8658-7f4e94e41769,16,Not Metering,362,209,0,,2,918.9,false,X ¾
