group,lever,serial,id,apt,tier,reported,draws,pos,neg,waterFlowDir_to_write
Chickadee Lane MHC,16185/314,72380742,35a345f0-849d-11f0-8b4a-0d0197d44616,809-MOCKINGBIRD,PIN,NOT FLIPPED,NOT FLIPPED,5262,0,1
Chickadee Lane MHC,16185/314,77052282,8dd281e0-2639-11f0-8272-45e3ef110760,810M,PIN,NOT FLIPPED,NOT FLIPPED,5366,0,1
Chickadee Lane MHC,16185/314,72380437,88183a20-9e65-11f0-b5af-5dfa9891b485,811C,PIN,FLIPPED,FLIPPED,0,5585,2
Chickadee Lane MHC,16185/314,70265531,932c1af0-9fdf-11f0-b5af-5dfa9891b485,811T,PIN,FLIPPED,FLIPPED,0,5716,2
Chickadee Lane MHC,16185/314,72390444,72c8e330-8430-11f0-8b4a-0d0197d44616,815-TOWHEE,PIN,FLIPPED,FLIPPED,0,5567,2
Chickadee Lane MHC,16185/314,70272966,b298cfd0-9e65-11f0-b5af-5dfa9891b485,820C,PIN,NOT FLIPPED,NOT FLIPPED,5433,0,1
Chickadee Lane MHC,16185/314,72383092,fea75f80-9e66-11f0-b5af-5dfa9891b485,820M,PIN,NOT FLIPPED,NOT FLIPPED,5363,0,1
Chickadee Lane MHC,16185/314,72386574,67acc670-84a2-11f0-8b4a-0d0197d44616,822-CHICKADEE,PIN,NOT FLIPPED,NOT FLIPPED,1140,267,1
Chickadee Lane MHC,16185/314,77055467,cf8fbbf0-2609-11f0-8272-45e3ef110760,825T,PIN,NOT FLIPPED,NOT FLIPPED,5663,0,1
Chickadee Lane MHC,16185/314,72382854,bfde0f00-8495-11f0-8b4a-0d0197d44616,826-CHICKADEE,PIN,FLIPPED,FLIPPED,0,3899,2
Chickadee Lane MHC,16185/314,77061366,9f4c3b50-2639-11f0-8272-45e3ef110760,827,PIN,FLIPPED,FLIPPED,0,5645,2
Chickadee Lane MHC,16185/314,77029595,e8fc7330-263b-11f0-8272-45e3ef110760,834,PIN,NOT FLIPPED,NOT FLIPPED,5567,0,1
Chickadee Lane MHC,16185/314,72386509,c99cb7d0-8495-11f0-8b4a-0d0197d44616,928-TOWHEE,PIN,FLIPPED,FLIPPED,0,5748,2
Circle N Trailer Park,15085/254,72388554,f4d49230-842a-11f0-8b4a-0d0197d44616,14,PIN,NOT FLIPPED,NOT FLIPPED,2332,0,1
Circle N Trailer Park,15085/254,75374841,2f32c880-0c6a-11f1-8768-5551e7a34f27,23,PIN,NOT FLIPPED,NOT FLIPPED,5119,108,1
Circle N Trailer Park,15085/254,75370401,ffeb7140-0c90-11f1-8768-5551e7a34f27,9,PIN,FLIPPED,FLIPPED,0,5824,2
Coleman Village MHC-CUST,15154/260,72387168,9b4290d0-9fc5-11f0-b5af-5dfa9891b485,102,PIN,NOT FLIPPED,NOT FLIPPED,5223,0,1
Coleman Village MHC-CUST,15154/260,70268550,06fcfd70-6677-11f0-8658-7f4e94e41769,103,PIN,FLIPPED,FLIPPED,0,2966,2
Coleman Village MHC-CUST,15154/260,77059030,a7923a10-66b4-11f0-8658-7f4e94e41769,105,PIN,FLIPPED,FLIPPED,0,1205,2
Coleman Village MHC-CUST,15154/260,70267636,b6ce4a40-668d-11f0-8658-7f4e94e41769,106,PIN,FLIPPED,FLIPPED,0,5675,2
Coleman Village MHC-CUST,15154/260,65831870,0c1a3290-c943-11ef-8f43-73c96c0de66f,107,PIN,FLIPPED,FLIPPED,3,5480,2
Coleman Village MHC-CUST,15154/260,70266018,7493e0a0-aabb-11f0-98a7-c3bc57f9afe3,108,PIN,NOT FLIPPED,NOT FLIPPED,4812,0,1
Coleman Village MHC-CUST,15154/260,70259922,d377f2c0-666c-11f0-8658-7f4e94e41769,109,PIN,FLIPPED,FLIPPED,0,4128,2
Coleman Village MHC-CUST,15154/260,75371011,af44cfd0-01ef-11f1-af1d-29d4205d602a,110,PIN,FLIPPED,FLIPPED,5,5138,2
Coleman Village MHC-CUST,15154/260,70273386,67718ae0-6695-11f0-8658-7f4e94e41769,112,PIN,NOT FLIPPED,NOT FLIPPED,5714,0,1
