serial,id,group,lever,apt,fw,ti,reported,attr,records,conf,quiet,basis,pos,neg,draws,verdict,pin_value,tier
72388505,582dbe80-8384-11f0-8b4a-0d0197d44616,Kay Bee Mobile Villa MHP,16131/296,54,16131,296,NOT FLIPPED,,6000,MED,-81,edge,5156,31,NOT FLIPPED,LOW,1,PIN
72392838,6426dad0-8430-11f0-8b4a-0d0197d44616,Kay Bee Mobile Villa MHP,16131/296,81,16131,296,UNKNOWN,,6000,HIGH,-169600,largest,0,0,no draws,NO-DRAWS,,NO-DRAWS
72382953,afcea020-8436-11f0-8b4a-0d0197d44616,Kay Bee Mobile Villa MHP,16131/296,15,16131,296,FLIPPED,FLIPPED,2348,MED,1564,edge,0,2231,FLIPPED,LOW,,ATTR-OK
72389057,0d75e980-8465-11f0-8b4a-0d0197d44616,Kay Bee Mobile Villa MHP,16131/296,86,16131,296,NOT FLIPPED,,1446,MED,-106,edge,1282,5,NOT FLIPPED,LOW,1,PIN
72385725,6127dcc0-845e-11f0-8b4a-0d0197d44616,Kay Bee Mobile Villa MHP,16131/296,97,16131,296,FLIPPED,,0,,,,0,0,,NO-DRAWS,,REPORTED-ONLY
72390105,4051a1c0-84a4-11f0-8b4a-0d0197d44616,Kay Bee Mobile Villa MHP,16131/296,,16131,296,FLIPPED,,6000,HIGH,-2048,largest,45,76,ambiguous,NO-DRAWS,,NO-DRAWS
72717665,a804bdd0-c431-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,3,16131,296,FLIPPED,,6000,MED,-170,edge,1,5306,FLIPPED,LOW,2,PIN
72721444,ac836820-c431-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,88,16131,296,NOT FLIPPED,,3616,MED,24,edge,3061,0,NOT FLIPPED,LOW,1,PIN
72721584,b5972af0-c431-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,66,16185,314,FLIPPED,,276,MED,-532,edge,2,0,no draws,NO-DRAWS,,NO-DRAWS
72720735,d6763cc0-c431-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,71,16131,296,FLIPPED,,6000,MED,-103,edge,25,5201,FLIPPED,LOW,2,PIN
72718531,e483cd50-c431-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,29,16131,296,FLIPPED,,6000,MED,,,0,0,,AMBIGUOUS-ZERO,,AMBIGUOUS-ZERO
72720834,e87c0990-c431-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,62,16131,296,FLIPPED,,6000,MED,-585,edge,0,757,FLIPPED,LOW,2,PIN
72719240,e890f120-c431-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,68,16131,296,FLIPPED,,6000,MED,-94,edge,0,5594,FLIPPED,LOW,2,PIN
