group,device,fwVer,sessions,completed,hung_est,days_with_records_of_7,rsrp_med
Shirlee's MHP,Device 79459408,17032,13,12,0,7,-113.0
Shirlee's MHP,Device 79457097,17032,4,4,0,5,-115.0
Shirlee's MHP,Device 79461255,17032,6,6,0,5,-99.0
Shirlee's MHP,Device 79461909,17032,7,6,0,4,-115.0
Shirlee's MHP,Device 79459929,17032,7,6,0,7,-101.0
Southern Cross MHC,Device 75366698,362,7,13,0,5,-93.0
Southern Cross MHC,Device 72723531,362,8,12,0,3,-90.0
Southern Cross MHC,Device 75363794,362,9,13,0,7,-93.0
Southern Cross MHC,Device 75363562,16022,7,6,0,7,-98.0
Southern Cross MHC,Device 75374031,362,13,13,0,7,-92.0
Southern Cross MHC,Device 75373843,362,13,13,0,7,-92.0
Southern Cross MHC,Device 75367415,362,12,13,0,7,-97.0
Southern Cross MHC,Device 75373132,362,12,12,0,6,-90.0
Southern Cross MHC,Device 75372373,17040,6,7,0,2,-94.0
Southern Cross MHC,Device 75360337,16185,7,6,0,0,-92.0
Southern Cross MHC,Device 75363216,362,14,14,0,7,-94.0
Southern Cross MHC,Device 72722673,362,11,13,0,1,-104.0
Southern Cross MHC,Device 75373397,362,9,13,0,7,-96.0
Southern Cross MHC,Device 75361566,16185,7,6,0,0,-96.0
Southern Cross MHC,Device 72724141,362,10,13,0,7,-92.0
Southern Cross MHC,Device 75372001,362,9,13,0,5,-105.0
Southern Cross MHC,Device 75362416,362,12,13,0,7,-101.0
Southern Cross MHC,Device 75368801,16185,7,6,0,1,-88.0
Southern Cross MHC,Device 75374866,16185,17,16,0,7,-98.0
Southern Cross MHC,Device 75366201,362,12,12,0,6,-99.0
Highlands MHC,Device 75365443,362,9,13,0,7,-101.0
Highlands MHC,Device 75374619,362,8,13,0,5,-92.0
Highlands MHC,Device 75370245,362,12,13,0,7,-104.0
Highlands MHC,Device 75361855,16185,20,20,0,7,-98.0
Highlands MHC,Device 75373868,,0,0,0,,
Highlands MHC,Device 75373710,17037,38,36,1,7,-104.0
Highlands MHC,Device 75364396,362,7,12,0,0,-85.0
Highlands MHC,Device 75374494,17037,26,26,0,7,-91.0
Highlands MHC,Device 75371250,17037,28,32,0,7,-104.0
Highlands MHC,Device 75374833,362,7,12,0,3,-88.0
Highlands MHC,Device 75365617,362,12,12,0,6,-110.0
Highlands MHC,Device 75371730,362,14,13,0,7,-104.0
Highlands MHC,Device 72718978,16185,14,14,0,4,-105.0
Highlands MHC,Device 75361426,16185,50,49,0,7,-80.0
Highlands MHC,Device 75370484,362,9,13,0,6,-97.0
Highlands MHC,Device 72719539,16185,14,13,0,7,-91.0
Highlands MHC,Device 75372761,17040,25,28,0,0,-90.0
Highlands MHC,Device 75361129,362,13,12,0,6,-90.0
Highlands MHC,Device 75371912,362,7,9,0,6,-85.0
Highlands MHC,Device 72723887,362,7,12,0,6,-101.0
Highlands MHC,Device 75366177,16185,48,48,0,7,-87.0
